time (s)	dominant Fap (N)	dominant Fvert (N)	dominant CPap (m)	non-dominant Fap (N)	non-dominant Fvert (N)	non-dominant CPap (m)
0.000000	0.345529	374.660766	0.210210	-0.829321	374.660766	0.210210
0.010000	0.321211	374.750564	0.210152	-0.767120	374.750564	0.210152
0.020000	0.294376	374.764267	0.210093	-0.714131	374.764267	0.210093
0.030000	0.266886	374.638941	0.210036	-0.677986	374.638941	0.210036
0.040000	0.246267	374.336581	0.209989	-0.663715	374.336581	0.209989
0.050000	0.242347	373.852838	0.209959	-0.673296	373.852838	0.209959
0.060000	0.261450	373.220649	0.209951	-0.705619	373.220649	0.209951
0.070000	0.301737	372.506393	0.209959	-0.756678	372.506393	0.209959
0.080000	0.352521	371.797068	0.209966	-0.820117	371.797068	0.209966
0.090000	0.398005	371.179620	0.209953	-0.888305	371.179620	0.209953
0.100000	0.423441	370.717811	0.209902	-0.953772	370.717811	0.209902
0.110000	0.420521	370.435065	0.209805	-1.010433	370.435065	0.209805
0.120000	0.389523	370.310250	0.209667	-1.054051	370.310250	0.209667
0.130000	0.337697	370.287430	0.209508	-1.081881	370.287430	0.209508
0.140000	0.275367	370.294195	0.209349	-1.091963	370.294195	0.209349
0.150000	0.212071	370.260752	0.209212	-1.082702	370.260752	0.209212
0.160000	0.154445	370.134251	0.209105	-1.053067	370.134251	0.209105
0.170000	0.106117	369.886634	0.209025	-1.003358	369.886634	0.209025
0.180000	0.068696	369.516805	0.208961	-0.936252	369.516805	0.208961
0.190000	0.042647	369.048717	0.208898	-0.857806	369.048717	0.208898
0.200000	0.027437	368.526795	0.208827	-0.777901	368.526795	0.208827
0.210000	0.021189	368.009288	0.208747	-0.709462	368.009288	0.208747
0.220000	0.020584	367.559043	0.208665	-0.665924	367.559043	0.208665
0.230000	0.021555	367.231086	0.208596	-0.657282	367.231086	0.208596
0.240000	0.020735	367.058580	0.208551	-0.686071	367.058580	0.208551
0.250000	0.016908	367.041860	0.208538	-0.745065	367.041860	0.208538
0.260000	0.011562	367.146389	0.208555	-0.817907	367.146389	0.208555
0.270000	0.008160	367.312509	0.208596	-0.882723	367.312509	0.208596
0.280000	0.010631	367.474305	0.208650	-0.917953	367.474305	0.208650
0.290000	0.022014	367.580392	0.208708	-0.909058	367.580392	0.208708
0.300000	0.043770	367.608651	0.208763	-0.854203	367.608651	0.208763
0.310000	0.075482	367.569875	0.208813	-0.766457	367.569875	0.208813
0.320000	0.114421	367.499832	0.208859	-0.670578	367.499832	0.208859
0.330000	0.155016	367.443591	0.208904	-0.594500	367.443591	0.208904
0.340000	0.189029	367.438523	0.208952	-0.558607	367.438523	0.208952
0.350000	0.207321	367.502543	0.209005	-0.567737	367.502543	0.209005
0.360000	0.203198	367.631730	0.209061	-0.610055	367.631730	0.209061
0.370000	0.176017	367.807553	0.209117	-0.663545	367.807553	0.209117
0.380000	0.132927	368.009791	0.209171	-0.706747	368.009791	0.209171
0.390000	0.087148	368.228592	0.209222	-0.727936	368.228592	0.209222
0.400000	0.052881	368.469371	0.209270	-0.727921	368.469371	0.209270
0.410000	0.038977	368.748026	0.209318	-0.715576	368.748026	0.209318
0.420000	0.044621	369.079377	0.209365	-0.699695	369.079377	0.209365
0.430000	0.059580	369.465297	0.209408	-0.682884	369.465297	0.209408
0.440000	0.069264	369.888442	0.209441	-0.661359	369.888442	0.209441
0.450000	0.062148	370.313871	0.209461	-0.630137	370.313871	0.209461
0.460000	0.035556	370.697107	0.209470	-0.589441	370.697107	0.209470
